BottomTier,MiddleTier,TopTier,Lstate,Date,B_30DayChange,B_60DayChange,B_90DayChange,M_30DayChange,M_60DayChange,M_90DayChange,T_30DayChange,T_60DayChange,T_90DayChange,B_PrincipalMonthly,B_AvgMortgage,B_InterestMonthly,M_PrincipalMonthly,M_AvgMortgage,M_InterestMonthly,T_PrincipalMonthly,T_AvgMortgage,T_InterestMonthly,CityName,Avg_AggMortgage
54598,131363,208128,OK,1/1/2016,178,228,236,325,394,365,471,559,493,151,470.1494444,319.1494444,364,1131.181389,767.1813888,578,1792.213333,1214.213333,Oklahoma City,1131.181389
54701,132954,211207,AR,9/1/2016,143,281,440,313,623,995,483,965,1550,151,471.0363888,320.0363888,369,1144.881667,775.8816667,586,1818.726944,1232.726944,Little Rock,1144.881667
54792,131742,208692,OK,2/1/2016,194,372,422,379,704,773,564,1035,1123,152,471.82,319.82,365,1134.445,769.445,579,1797.07,1218.07,Tulsa,1134.445
54792,131742,208692,OK,2/1/2016,194,372,422,379,704,773,564,1035,1123,152,471.82,319.82,365,1134.445,769.445,579,1797.07,1218.07,Oklahoma City,1134.445
54875,133315,211755,AR,10/1/2016,174,317,455,361,674,984,548,1031,1513,152,472.5347222,320.5347222,370,1147.990278,777.9902778,588,1823.445833,1235.445833,Little Rock,1147.990278
54969,132094,209219,OK,3/1/2016,177,371,549,352,731,1056,527,1091,1562,152,473.3441667,321.3441667,366,1137.476111,771.4761111,581,1801.608056,1220.608056,Tulsa,1137.476111
54969,132094,209219,OK,3/1/2016,177,371,549,352,731,1056,527,1091,1562,152,473.3441667,321.3441667,366,1137.476111,771.4761111,581,1801.608056,1220.608056,Oklahoma City,1137.476111
55058,133712,212367,AR,11/1/2016,183,357,500,397,758,1071,612,1160,1643,152,474.1105555,322.1105555,371,1151.408889,780.4088888,589,1828.715833,1239.715833,Little Rock,1151.411759
55129,132409,209690,OK,4/1/2016,160,337,531,315,667,1046,471,998,1562,153,474.7219444,321.7219444,367,1140.188611,773.1886111,582,1805.663889,1223.663889,Tulsa,1140.191481
55129,132409,209690,OK,4/1/2016,160,337,531,315,667,1046,471,998,1562,153,474.7219444,321.7219444,367,1140.188611,773.1886111,582,1805.663889,1223.663889,Oklahoma City,1140.191481
55236,134137,213038,AR,12/1/2016,178,361,535,425,822,1183,671,1283,1831,153,475.6433333,322.6433333,372,1155.068611,783.0686111,591,1834.493889,1243.493889,Little Rock,1155.068611
55284,132734,210184,OK,5/1/2016,155,315,492,325,640,992,494,965,1492,153,476.0566667,323.0566667,368,1142.987222,774.9872222,583,1809.917778,1226.917778,Tulsa,1142.987222
55284,132734,210184,OK,5/1/2016,155,315,492,325,640,992,494,965,1492,153,476.0566667,323.0566667,368,1142.987222,774.9872222,583,1809.917778,1226.917778,Oklahoma City,1142.987222
55415,134556,213698,AR,1/1/2017,179,357,540,419,844,1241,660,1331,1943,153,477.1847222,324.1847222,373,1158.676667,785.6766667,593,1840.177222,1247.177222,Little Rock,1158.679537
55442,133073,210704,OK,6/1/2016,158,313,473,339,664,979,520,1014,1485,154,477.4172222,323.4172222,369,1145.906389,776.9063888,585,1814.395556,1229.395556,Tulsa,1145.906389
55442,133073,210704,OK,6/1/2016,158,313,473,339,664,979,520,1014,1485,154,477.4172222,323.4172222,369,1145.906389,776.9063888,585,1814.395556,1229.395556,Oklahoma City,1145.906389
55582,134896,214210,AR,2/1/2017,167,346,524,340,759,1184,512,1172,1843,154,478.6227778,324.6227778,374,1161.604444,787.6044444,595,1844.586111,1249.586111,Little Rock,1161.604444
55622,133435,211249,OK,7/1/2016,180,338,493,362,701,1026,545,1065,1559,154,478.9672222,324.9672222,370,1149.023611,779.0236111,586,1819.088611,1233.088611,Tulsa,1149.026481
55622,133435,211249,OK,7/1/2016,180,338,493,362,701,1026,545,1065,1559,154,478.9672222,324.9672222,370,1149.023611,779.0236111,586,1819.088611,1233.088611,Oklahoma City,1149.026481
55778,135297,214816,AR,3/1/2017,196,363,542,401,741,1160,606,1118,1778,154,480.3105555,326.3105555,375,1165.0575,790.0575,596,1849.804444,1253.804444,Little Rock,1165.0575
55792,121845,187899,MS,1/1/2014,31,64,69,50,97,82,69,131,96,154,480.4311111,326.4311111,338,1049.220833,711.2208333,521,1618.019167,1097.019167,Jackson,1049.223704
55796,133754,211713,OK,8/1/2016,174,354,512,319,681,1020,464,1009,1529,154,480.4655555,326.4655555,371,1151.770556,780.7705555,588,1823.084167,1235.084167,Tulsa,1151.773426
55796,133754,211713,OK,8/1/2016,174,354,512,319,681,1020,464,1009,1529,154,480.4655555,326.4655555,371,1151.770556,780.7705555,588,1823.084167,1235.084167,Oklahoma City,1151.773426
55880,121996,188112,MS,2/1/2014,88,119,152,151,201,248,213,282,344,155,481.1888888,326.1888888,338,1050.521111,712.5211111,522,1619.853333,1097.853333,Jackson,1050.521111
55888,140417,224946,AL,1/1/2014,75,212,330,197,474,691,319,736,1051,155,481.2577778,326.2577778,390,1209.146389,819.1463888,624,1937.035,1313.035,Birmingham,1209.146389
55946,140578,225210,AL,2/1/2014,58,133,270,161,358,635,264,583,1000,155,481.7572222,326.7572222,390,1210.532778,820.5327778,625,1939.308333,1314.308333,Birmingham,1210.532778
55962,140649,225336,AL,3/1/2014,16,74,149,71,232,429,126,390,709,155,481.895,326.895,390,1211.144167,821.1441667,625,1940.393333,1315.393333,Birmingham,1211.144167
55967,135620,215274,AR,4/1/2017,189,385,552,323,724,1064,458,1064,1576,155,481.9380555,326.9380555,376,1167.838889,791.8388888,597,1853.748333,1256.748333,Little Rock,1167.841759
55969,122108,188248,MS,3/1/2014,89,177,208,112,263,313,136,349,418,155,481.9552778,326.9552778,339,1051.485556,712.4855555,522,1621.024444,1099.024444,Jackson,1051.488426
55982,134082,212183,OK,9/1/2016,186,360,540,328,647,1009,470,934,1479,155,482.0672222,327.0672222,372,1154.595,782.595,589,1827.131389,1238.131389,Tulsa,1154.59787
55982,134082,212183,OK,9/1/2016,186,360,540,328,647,1009,470,934,1479,155,482.0672222,327.0672222,372,1154.595,782.595,589,1827.131389,1238.131389,Oklahoma City,1154.59787
56051,140872,225694,AL,4/1/2014,89,105,163,223,294,455,358,484,748,155,482.6613888,327.6613888,391,1213.064444,822.0644444,626,1943.476111,1317.476111,Birmingham,1213.067315
56123,122350,188578,MS,4/1/2014,154,243,331,242,354,505,330,466,679,155,483.2813888,328.2813888,339,1053.569444,714.5694444,523,1623.866111,1100.866111,Jackson,1053.572315
56181,134458,212735,OK,10/1/2016,199,385,559,376,704,1023,552,1022,1486,156,483.7808333,327.7808333,373,1157.832778,784.8327778,590,1831.884722,1241.884722,Tulsa,1157.832778
56181,134458,212735,OK,10/1/2016,199,385,559,376,704,1023,552,1022,1486,156,483.7808333,327.7808333,373,1157.832778,784.8327778,590,1831.884722,1241.884722,Oklahoma City,1157.832778
56186,136028,215870,AR,5/1/2017,219,408,604,408,731,1132,596,1054,1660,156,483.8238888,327.8238888,377,1171.352222,794.3522222,599,1858.880556,1259.880556,Little Rock,1171.352222
56188,141227,226267,AL,5/1/2014,137,226,242,355,578,649,573,931,1057,156,483.8411111,327.8411111,392,1216.121389,824.1213888,628,1948.410278,1320.410278,Birmingham,1216.124259
56286,122589,188892,MS,5/1/2014,163,317,406,239,481,593,314,644,780,156,484.685,328.685,340,1055.6275,715.6275,524,1626.57,1102.57,Jackson,1055.6275
56354,141645,226937,AL,6/1/2014,166,303,392,418,773,996,670,1243,1601,156,485.2705555,329.2705555,393,1219.720833,826.7208333,630,1954.179722,1324.179722,Birmingham,1219.723704
56355,134799,213244,OK,11/1/2016,174,373,559,341,717,1045,509,1061,1531,156,485.2791667,329.2791667,374,1160.769167,786.7691667,592,1836.267778,1244.267778,Tulsa,1160.772037
56355,134799,213244,OK,11/1/2016,174,373,559,341,717,1045,509,1061,1531,156,485.2791667,329.2791667,374,1160.769167,786.7691667,592,1836.267778,1244.267778,Oklahoma City,1160.772037
56380,136379,216379,AR,6/1/2017,194,413,602,351,759,1082,509,1105,1563,156,485.4944444,329.4944444,378,1174.374722,796.3747222,601,1863.263611,1262.263611,Little Rock,1174.377592
56396,130612,204828,KY,1/1/2014,53,180,296,149,472,746,244,763,1195,156,485.6322222,329.6322222,362,1124.714444,762.7144444,568,1763.796667,1195.796667,Louisville-Jefferson County,1124.714444
56457,122843,189230,MS,6/1/2014,171,334,488,254,493,735,338,652,982,156,486.1575,330.1575,341,1057.814722,716.8147222,525,1629.480556,1104.480556,Jackson,1057.817593
56494,130855,205217,KY,2/1/2014,98,151,278,243,392,715,389,633,1152,156,486.4761111,330.4761111,363,1126.806944,763.8069444,570,1767.146389,1197.146389,Louisville-Jefferson County,1126.809815
56499,141992,227485,AL,7/1/2014,145,311,448,347,765,1120,548,1218,1791,156,486.5191667,330.5191667,394,1222.708889,828.7088888,631,1958.898611,1327.898611,Birmingham,1222.708889
56531,135148,213765,OK,12/1/2016,176,350,549,349,690,1066,521,1030,1582,157,486.7947222,329.7947222,375,1163.774444,788.7744444,593,1840.754167,1247.754167,Tulsa,1163.774444
56531,135148,213765,OK,12/1/2016,176,350,549,349,690,1066,521,1030,1582,157,486.7947222,329.7947222,375,1163.774444,788.7744444,593,1840.754167,1247.754167,Oklahoma City,1163.774444
56558,130959,205361,KY,3/1/2014,64,162,215,104,347,496,144,533,777,157,487.0272222,330.0272222,363,1127.7025,764.7025,570,1768.386389,1198.386389,Louisville-Jefferson County,1127.70537
56619,135329,214039,OK,1/1/2017,88,264,438,181,530,871,274,795,1304,157,487.5525,330.5525,375,1165.333056,790.3330555,594,1843.113611,1249.113611,Tulsa,1165.333056
56619,135329,214039,OK,1/1/2017,88,264,438,181,530,871,274,795,1304,157,487.5525,330.5525,375,1165.333056,790.3330555,594,1843.113611,1249.113611,Oklahoma City,1165.333056
56631,136923,217215,AR,7/1/2017,251,445,664,544,895,1303,836,1345,1941,157,487.6558333,330.6558333,380,1179.059167,799.0591667,603,1870.4625,1267.4625,Little Rock,1179.059167
56639,142269,227899,AL,8/1/2014,140,285,451,277,624,1042,414,962,1632,157,487.7247222,330.7247222,395,1225.094167,830.0941667,633,1962.463611,1329.463611,Birmingham,1225.094167
56640,123149,189658,MS,7/1/2014,183,354,517,306,560,799,428,766,1080,157,487.7333333,330.7333333,342,1060.449722,718.4497222,526,1633.166111,1107.166111,Jackson,1060.449722
56690,131196,205702,KY,4/1/2014,132,196,294,237,341,584,341,485,874,157,488.1638888,331.1638888,364,1129.743333,765.7433333,571,1771.322778,1200.322778,Louisville-Jefferson County,1129.743333
56736,142467,228198,AL,9/1/2014,97,237,382,198,475,822,299,713,1261,157,488.56,331.56,395,1226.799167,831.7991667,633,1965.038333,1332.038333,Birmingham,1226.799167
56754,135568,214382,OK,2/1/2017,135,223,399,239,420,769,343,617,1138,157,488.715,331.715,376,1167.391111,791.3911111,595,1846.067222,1251.067222,Tulsa,1167.391111
56754,135568,214382,OK,2/1/2017,135,223,399,239,420,769,343,617,1138,157,488.715,331.715,376,1167.391111,791.3911111,595,1846.067222,1251.067222,Oklahoma City,1167.391111
56809,131394,205979,KY,5/1/2014,119,251,315,198,435,539,277,618,762,157,489.1886111,332.1886111,364,1131.448333,767.4483333,572,1773.708056,1201.708056,Louisville-Jefferson County,1131.448333
56839,142695,228552,AL,10/1/2014,103,200,340,228,426,703,354,653,1067,157,489.4469444,332.4469444,396,1228.7625,832.7625,634,1968.086667,1334.086667,Birmingham,1228.76537
56873,123538,190203,MS,8/1/2014,233,416,587,389,695,949,545,973,1311,157,489.7397222,332.7397222,343,1063.799444,720.7994444,528,1637.859167,1109.859167,Jackson,1063.799444
56880,137476,218072,AR,8/1/2017,249,500,694,553,1097,1448,857,1693,2202,158,489.8,331.8,381,1183.821111,802.8211111,605,1877.842222,1272.842222,Little Rock,1183.821111
56881,135781,214681,OK,3/1/2017,127,262,350,213,452,633,299,642,916,158,489.8086111,331.8086111,377,1169.225278,792.2252778,596,1848.641944,1252.641944,Tulsa,1169.225278
