BottomTier,MiddleTier,TopTier,Lstate1,Date1,B_DiffPrevMonth,B_60DayChange,B_90DayChange,M_DiffPrevMonth,M_60DayChange,M_90DayChange,T_DiffPrevMonth,T_60DayChange,T_90DayChange,B_PrincipalMonthly,B_AvgMortgage,B_InterestMonthly,M_PrincipalMonthly,M_AvgMortgage,M_InterestMonthly,T_PrincipalMonthly,T_AvgMortgage,T_InterestMonthly,R_Monthly,CityName,R_DiffPrevMonth,R_60DayChange,R_90DayChange
131991,259156,386322,FL,4/1/2017,1004,1922,2790,1396,2616,3799,1788,3311,4808,366,1136.589167,770.5891667,719,2231.621111,1512.621111,1073,3326.661667,2253.661667,1469,North Port-Sarasota-Bradenton,120,13,184
131991,259156,386322,FL,4/1/2017,1004,1922,2790,1396,2616,3799,1788,3311,4808,366,1136.589167,770.5891667,719,2231.621111,1512.621111,1073,3326.661667,2253.661667,1759,Miami-Fort Lauderdale,290,410,303
132021,233754,335488,AZ,5/1/2015,1161,2442,3433,1836,3896,5400,2511,5351,7367,366,1136.8475,770.8475,649,2012.881667,1363.881667,931,2888.924444,1957.924444,953,Tucson,-73,-66,0
132021,233754,335488,AZ,5/1/2015,1161,2442,3433,1836,3896,5400,2511,5351,7367,366,1136.8475,770.8475,649,2012.881667,1363.881667,931,2888.924444,1957.924444,1026,Phoenix,7,73,81
132097,229578,327059,ID,6/1/2016,847,1801,2430,1212,2619,3470,1577,3436,4510,366,1137.501944,771.5019444,637,1976.921667,1339.921667,908,2816.341389,1908.341389,1085,Boise City,14,25,40
132220,238807,345394,NM,9/1/2019,629,1409,2285,1006,2245,3691,1382,3080,5097,367,1138.561111,771.5611111,663,2056.393611,1393.393611,959,2974.226111,2015.226111,1095,Albuquerque,1,7,13
132318,261606,390894,TX,11/1/2020,1386,2610,3577,2725,5099,6942,4063,7587,10307,367,1139.405,772.405,726,2252.718333,1526.718333,1085,3366.031667,2281.031667,1160,El Paso,-300,-289,21
132318,261606,390894,TX,11/1/2020,1386,2610,3577,2725,5099,6942,4063,7587,10307,367,1139.405,772.405,726,2252.718333,1526.718333,1085,3366.031667,2281.031667,1221,San Antonio,-164,61,-239
132318,261606,390894,TX,11/1/2020,1386,2610,3577,2725,5099,6942,4063,7587,10307,367,1139.405,772.405,726,2252.718333,1526.718333,1085,3366.031667,2281.031667,1385,Houston,225,-75,-64
132318,261606,390894,TX,11/1/2020,1386,2610,3577,2725,5099,6942,4063,7587,10307,367,1139.405,772.405,726,2252.718333,1526.718333,1085,3366.031667,2281.031667,1420,Austin,199,35,260
